buff[0]=4000001f,  r=0 
buff[27]=c0000000,  r=27 
buff[0]=40000abf,  r=0 
buff[1]= 8055243,  r=1 
buff[2]=   9448f,  r=2 
buff[3]=  e9522f,  r=3 
buff[4]=  295234,  r=4 
buff[5]=18055005,  r=5 
buff[6]= 9055243,  r=6 
buff[7]=19055002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=c0000000,  r=9 
buff[0]=40000adf,  r=0 
buff[1]= 8056048,  r=1 
buff[2]=   15c16,  r=2 
buff[3]=  e169dc,  r=3 
buff[4]=  2169e7,  r=4 
buff[5]=18056005,  r=5 
buff[6]= 9056048,  r=6 
buff[7]=19056002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=c0000000,  r=9 
buff[0]=40000aff,  r=0 
buff[1]= 805721a,  r=1 
buff[2]=   8a216,  r=2 
buff[3]=  e8afd4,  r=3 
buff[4]=  28afd7,  r=4 
buff[5]=18057005,  r=5 
buff[6]= 905721a,  r=6 
buff[7]=19057002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=c0000000,  r=9 
buff[0]=40000b1f,  r=0 
buff[1]= 8058cbe,  r=1 
buff[2]=  1332d9,  r=2 
buff[3]=  f3402f,  r=3 
buff[4]=  33403c,  r=4 
buff[5]=18058005,  r=5 
buff[6]= 9058cbe,  r=6 
buff[7]=19058002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=c0000000,  r=9 
buff[0]=40000b3f,  r=0 
buff[1]= 8059457,  r=1 
buff[2]=  119454,  r=2 
buff[3]=  f1a24f,  r=3 
buff[4]=  31a260,  r=4 
buff[5]=18059005,  r=5 
buff[6]= 9059457,  r=6 
buff[7]=19059002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=40000b5f,  r=9 
buff[10]= 805a8d6,  r=10 
buff[11]=   390df,  r=11 
buff[12]=  e39e43,  r=12 
buff[13]=  239e4d,  r=13 
buff[14]=1805a005,  r=14 
buff[15]= 905a8d6,  r=15 
buff[16]=1905a002,  r=16 
buff[17]=8000013f,  r=17 
buff[18]=40000b7f,  r=18 
buff[19]= 805bdbf,  r=19 
buff[20]=  173768,  r=20 
buff[21]=  f7451c,  r=21 
buff[22]=  37451e,  r=22 
buff[23]=1805b005,  r=23 
buff[24]= 905bdbf,  r=24 
buff[25]=1905b002,  r=25 
buff[26]=8000013f,  r=26 
buff[27]=40000b9f,  r=27 
buff[28]= 805cbe2,  r=28 
buff[29]=   fc396,  r=29 
buff[30]=  efd121,  r=30 
buff[31]=  2fd12c,  r=31 
buff[32]=1805c005,  r=32 
buff[33]= 905cbe2,  r=33 
buff[34]=1905c002,  r=34 
buff[35]=8000013f,  r=35 
buff[0]=40000bbf,  r=0 
buff[1]= 805d359,  r=1 
buff[2]=   d9e3c,  r=2 
buff[3]=  edabec,  r=3 
buff[4]=  2dabee,  r=4 
buff[5]=1805d005,  r=5 
buff[6]= 905d359,  r=6 
buff[7]=1905d002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=c0000000,  r=9 
buff[0]=40000bdf,  r=0 
buff[1]= 805ecaa,  r=1 
buff[2]=  12e2fc,  r=2 
buff[3]=  f2f0da,  r=3 
buff[4]=  32f0ee,  r=4 
buff[5]=1805e005,  r=5 
buff[6]= 905ecaa,  r=6 
buff[7]=1905e002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=c0000000,  r=9 
buff[0]=40000bff,  r=0 
buff[1]= 805f979,  r=1 
buff[2]=   61ff3,  r=2 
buff[3]=  e62dca,  r=3 
buff[4]=  262ddc,  r=4 
buff[5]=1805f005,  r=5 
buff[6]= 905f979,  r=6 
buff[7]=1905f002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=40000c1f,  r=9 
buff[10]= 806016a,  r=10 
buff[11]=   5e298,  r=11 
buff[12]=  e5f042,  r=12 
buff[13]=  25f044,  r=13 
buff[14]=18060005,  r=14 
buff[15]= 906016a,  r=15 
buff[16]=19060002,  r=16 
buff[17]=8000013f,  r=17 
buff[0]=40000c3f,  r=0 
buff[1]= 8061067,  r=1 
buff[2]=   1d71e,  r=2 
buff[3]=  e1e4de,  r=3 
buff[4]=  21e4ea,  r=4 
buff[5]=18061005,  r=5 
buff[6]= 9061067,  r=6 
buff[7]=19061002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=c0000000,  r=9 
buff[0]=40000c5f,  r=0 
buff[1]= 80621e5,  r=1 
buff[2]=   7cdf4,  r=2 
buff[3]=  e7daaf,  r=3 
buff[4]=  27dab8,  r=4 
buff[5]=18062005,  r=5 
buff[6]= 90621e5,  r=6 
buff[7]=19062002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=40000c7f,  r=9 
buff[10]= 8063d79,  r=10 
buff[11]=  161f70,  r=11 
buff[12]=  f62c94,  r=12 
buff[13]=  362ca8,  r=13 
buff[14]=18063005,  r=14 
buff[15]= 9063d79,  r=15 
buff[16]=19063002,  r=16 
buff[17]=8000013f,  r=17 
buff[0]=40000c9f,  r=0 
buff[1]= 8064130,  r=1 
buff[2]=   4f9ff,  r=2 
buff[3]=  e50749,  r=3 
buff[4]=  250756,  r=4 
buff[5]=18064005,  r=5 
buff[6]= 9064130,  r=6 
buff[7]=19064002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=c0000000,  r=9 
buff[0]=40000cbf,  r=0 
buff[1]= 8065ef0,  r=1 
buff[2]=  1bfaba,  r=2 
buff[3]=  fc0838,  r=3 
buff[4]=  3c0840,  r=4 
buff[5]=18065005,  r=5 
buff[6]= 9065ef0,  r=6 
buff[7]=19065002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=c0000000,  r=9 
buff[0]=40000cdf,  r=0 
buff[1]= 80665b9,  r=1 
buff[2]=  171db7,  r=2 
buff[3]=  f72b0b,  r=3 
buff[4]=  372b16,  r=4 
buff[5]=18066005,  r=5 
buff[6]= 90665b9,  r=6 
buff[7]=19066002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=c0000000,  r=9 
buff[0]=40000cff,  r=0 
buff[1]= 80675ce,  r=1 
buff[2]=  17728e,  r=2 
buff[3]=  f7801e,  r=3 
buff[4]=  378027,  r=4 
buff[5]=18067005,  r=5 
buff[6]= 90675ce,  r=6 
buff[7]=19067002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=c0000000,  r=9 
buff[0]=40000d1f,  r=0 
buff[1]= 8068bfe,  r=1 
buff[2]=  10321a,  r=2 
buff[3]=  f03fee,  r=3 
buff[4]=  304001,  r=4 
buff[5]=18068005,  r=5 
buff[6]= 9068bfe,  r=6 
buff[7]=19068002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=c0000000,  r=9 
buff[0]=40000d3f,  r=0 
buff[1]= 8069268,  r=1 
buff[2]=   9d9a0,  r=2 
buff[3]=  e9e6de,  r=3 
buff[4]=  29e6ef,  r=4 
buff[5]=18069005,  r=5 
buff[6]= 9069268,  r=6 
buff[7]=19069002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=c0000000,  r=9 
buff[0]=40000d5f,  r=0 
buff[1]= 806ad31,  r=1 
buff[2]=  14ff90,  r=2 
buff[3]=  f50c93,  r=3 
buff[4]=  350ca5,  r=4 
buff[5]=1806a005,  r=5 
buff[6]= 906ad31,  r=6 
buff[7]=1906a002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=c0000000,  r=9 
buff[0]=40000d7f,  r=0 
buff[1]= 806bee6,  r=1 
buff[2]=  1bd405,  r=2 
buff[3]=  fbe184,  r=3 
buff[4]=  3be18d,  r=4 
buff[5]=1806b005,  r=5 
buff[6]= 906bee6,  r=6 
buff[7]=1906b002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=40000d9f,  r=9 
buff[10]= 806c02e,  r=10 
buff[11]=    f406,  r=11 
buff[12]=  e101da,  r=12 
buff[13]=  2101ec,  r=13 
buff[14]=1806c005,  r=14 
buff[15]= 906c02e,  r=15 
buff[16]=1906c002,  r=16 
buff[17]=8000013f,  r=17 
buff[0]=40000dbf,  r=0 
buff[1]= 806d233,  r=1 
buff[2]=   9082d,  r=2 
buff[3]=  e91541,  r=3 
buff[4]=  291554,  r=4 
buff[5]=1806d005,  r=5 
buff[6]= 906d233,  r=6 
buff[7]=1906d002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=c0000000,  r=9 
buff[0]=40000ddf,  r=0 
buff[1]= 806ea2b,  r=1 
buff[2]=   8e449,  r=2 
buff[3]=  e8f24e,  r=3 
buff[4]=  28f25e,  r=4 
buff[5]=1806e005,  r=5 
buff[6]= 906ea2b,  r=6 
buff[7]=1906e002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=40000dff,  r=9 
buff[10]= 806f45f,  r=10 
buff[11]=  11b774,  r=11 
buff[12]=  f1c4f9,  r=12 
buff[13]=  31c501,  r=13 
buff[14]=1806f005,  r=14 
buff[15]= 906f45f,  r=15 
buff[16]=1906f002,  r=16 
buff[17]=8000013f,  r=17 
buff[0]=40000e1f,  r=0 
buff[1]= 80706c4,  r=1 
buff[2]=  1b49f6,  r=2 
buff[3]=  fb562b,  r=3 
buff[4]=  3b563f,  r=4 
buff[5]=18070005,  r=5 
buff[6]= 90706c4,  r=6 
buff[7]=19070002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=c0000000,  r=9 
buff[0]=40000e3f,  r=0 
buff[1]= 8071716,  r=1 
buff[2]=  1c9268,  r=2 
buff[3]=  fca017,  r=3 
buff[4]=  3ca017,  r=4 
buff[5]=18071005,  r=5 
buff[6]= 9071716,  r=6 
buff[7]=19071002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=40000e5f,  r=9 
buff[10]= 8072a92,  r=10 
buff[11]=   a811c,  r=11 
buff[12]=  ea8ea8,  r=12 
buff[13]=  2a8eb1,  r=13 
buff[14]=18072005,  r=14 
buff[15]= 9072a92,  r=15 
buff[16]=19072002,  r=16 
buff[17]=8000013f,  r=17 
buff[0]=40000e7f,  r=0 
buff[1]= 80738ff,  r=1 
buff[2]=   4337d,  r=2 
buff[3]=  e441f7,  r=3 
buff[4]=  2441f9,  r=4 
buff[5]=18073005,  r=5 
buff[6]= 90738ff,  r=6 
buff[7]=19073002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=40000e9f,  r=9 
buff[10]= 8074bd7,  r=10 
buff[11]=   f97b8,  r=11 
buff[12]=  efa5cd,  r=12 
buff[13]=  2fa5dc,  r=13 
buff[14]=18074005,  r=14 
buff[15]= 9074bd7,  r=15 
buff[16]=19074002,  r=16 
buff[17]=8000013f,  r=17 
buff[18]=40000ebf,  r=18 
buff[19]= 8075339,  r=19 
buff[20]=   d1fbe,  r=20 
buff[21]=  ed2d1c,  r=21 
buff[22]=  2d2d29,  r=22 
buff[23]=18075005,  r=23 
buff[24]= 9075339,  r=24 
buff[25]=19075002,  r=25 
buff[26]=8000013f,  r=26 
buff[27]=c0000000,  r=27 
buff[0]=40000edf,  r=0 
buff[1]= 807664e,  r=1 
buff[2]=  197350,  r=2 
buff[3]=  f980d0,  r=3 
buff[4]=  3980da,  r=4 
buff[5]=18076005,  r=5 
buff[6]= 907664e,  r=6 
buff[7]=19076002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=40000eff,  r=9 
buff[10]= 8077ccc,  r=10 
buff[11]=  136c0a,  r=11 
buff[12]=  f379e6,  r=12 
buff[13]=  3379f9,  r=13 
buff[14]=18077005,  r=14 
buff[15]= 9077ccc,  r=15 
buff[16]=19077002,  r=16 
buff[17]=8000013f,  r=17 
buff[0]=40000f1f,  r=0 
buff[1]= 80782f6,  r=1 
buff[2]=   c1455,  r=2 
buff[3]=  ec2154,  r=3 
buff[4]=  2c2161,  r=4 
buff[5]=18078005,  r=5 
buff[6]= 90782f6,  r=6 
buff[7]=19078002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=c0000000,  r=9 
buff[0]=40000f3f,  r=0 
buff[1]= 80794fd,  r=1 
buff[2]=  142c7e,  r=2 
buff[3]=  f43b16,  r=3 
buff[4]=  343b27,  r=4 
buff[5]=18079005,  r=5 
buff[6]= 90794fd,  r=6 
buff[7]=19079002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=c0000000,  r=9 
buff[0]=40000f5f,  r=0 
buff[1]= 807a799,  r=1 
buff[2]=  1e9e40,  r=2 
buff[3]=  feab92,  r=3 
buff[4]=  3eab9e,  r=4 
buff[5]=1807a005,  r=5 
buff[6]= 907a799,  r=6 
buff[7]=1907a002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=40000f7f,  r=9 
buff[10]= 807b8b1,  r=10 
buff[11]=   2ff38,  r=11 
buff[12]=  e30cbd,  r=12 
buff[13]=  230cc5,  r=13 
buff[14]=1807b005,  r=14 
buff[15]= 907b8b1,  r=15 
buff[16]=1907b002,  r=16 
buff[17]=8000013f,  r=17 
buff[18]=40000f9f,  r=18 
buff[19]= 807ced7,  r=19 
buff[20]=  1b97b8,  r=20 
buff[21]=  fba4ac,  r=21 
buff[22]=  3ba4bd,  r=22 
buff[23]=1807c005,  r=23 
buff[24]= 907ced7,  r=24 
buff[25]=1907c002,  r=25 
buff[26]=8000013f,  r=26 
buff[27]=40000fbf,  r=27 
buff[28]= 807dd4a,  r=28 
buff[29]=  15629e,  r=29 
buff[30]=  f56fe2,  r=30 
buff[31]=  356ff2,  r=31 
buff[32]=1807d005,  r=32 
buff[33]= 907dd4a,  r=33 
buff[34]=1907d002,  r=34 
buff[35]=8000013f,  r=35 
buff[36]=40000fdf,  r=36 
buff[37]= 807e073,  r=37 
buff[38]=   2065b,  r=38 
buff[39]=  e21297,  r=39 
buff[40]=  2212a9,  r=40 
buff[41]=1807e005,  r=41 
buff[42]= 907e073,  r=42 
buff[43]=1907e002,  r=43 
buff[44]=8000013f,  r=44 
buff[45]=40000fff,  r=45 
buff[46]= 807f25c,  r=46 
buff[47]=   9aac5,  r=47 
buff[48]=  e9b905,  r=48 
buff[49]=  29b910,  r=49 
buff[50]=1807f005,  r=50 
buff[51]= 907f25c,  r=51 
buff[52]=1907f002,  r=52 
buff[53]=8000013f,  r=53 
buff[0]=4000101f,  r=0 
buff[1]= 8080831,  r=1 
buff[2]=    fe74,  r=2 
buff[3]=  e10be1,  r=3 
buff[4]=  210bee,  r=4 
buff[5]=18080005,  r=5 
buff[6]= 9080831,  r=6 
buff[7]=19080002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=4000103f,  r=9 
buff[10]= 808187d,  r=10 
buff[11]=   22dd3,  r=11 
buff[12]=  e23b92,  r=12 
buff[13]=  223ba1,  r=13 
buff[14]=18081005,  r=14 
buff[15]= 908187d,  r=15 
buff[16]=19081002,  r=16 
buff[17]=8000013f,  r=17 
buff[0]=4000105f,  r=0 
buff[1]= 8082316,  r=1 
buff[2]=   c9011,  r=2 
buff[3]=  ec9e13,  r=3 
buff[4]=  2c9e24,  r=4 
buff[5]=18082005,  r=5 
buff[6]= 9082316,  r=6 
buff[7]=19082002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=c0000000,  r=9 
